ID_estacion,Fecha,pH,Temp,TDS,Alc_total,Ca,Cl,Cond,Dureza,K,Mg,Na,CHL_A,C_totales,NNO3,OD,ODPCT,Transp,Turb
DHC,10/08/2016,7.67,26.7,64,40,5.48,5.4,103,30.5,0.88,4.09,8.4,0.09,860,0.075,9.64,119,1,8.3
DHC,21/09/2016,,,90,49,7.62,5.4,112,33.5,0.87,3.53,5.6,12.4,5200,0.037,,,1,5.3
DHC,12/10/2016,8.37,28.7,109,48,7.48,4,114,33.3,0.92,3.54,6.18,4.5,1100,0.038,8.04,104,1.8,2.7
DHC,09/11/2016,8.06,29.2,85,50,8.08,3.8,145,33.9,0.79,3.34,5.98,6.8,1100,0.064,8.96,116,1.5,1.7
DHC,06/12/2016,8.29,28.3,82,50,8,5,93,33.3,1.05,3.24,5.84,13.3,2900,0.009,8.86,114,1.5,2.7
TAG,12/01/2017,8.14,28.9,89,53,8.54,4.7,109,36.4,0.92,3.65,5.9,7.1,4400,0.015,7.87,102,3.5,1.1
TAG,09/02/2017,8.39,29,81,60,8.48,4.4,126,35.9,0.99,3.59,6.36,11.5,340,0.009,8.41,110,1.6,1.3
TAG,09/03/2017,8.23,28.9,97,59,8.73,5.8,200,45,1.33,5.64,5.95,13.8,99,0.009,8.05,105,2,2.3
TAG,12/04/2017,8.63,30,101,62,19.31,6.1,136,65.2,0.7,4.13,7.83,9.8,2700,0.025,8.49,112,2,1.9
TAG,10/05/2017,8.61,29.9,92,60,20.25,6,137,134,0.77,3.8,7.26,5.6,1600,0.03,8.14,108,1.5,1.5
TAG,13/06/2017,7.87,29.4,87,56,1.77,5.9,133,110.9,0.66,4.03,7.3,5.4,410,0.015,6.41,84,1.6,1.1
TAG,11/07/2017,8.57,29.1,96,58,16.6,5.3,135,54.9,0.87,3.27,7.36,15.5,460,0.018,8.3,108,1.5,2.2
TAG,09/08/2017,8.84,29.9,89,56,18.11,5.9,133,60.7,0.65,3.75,6.86,13.9,14000,0.015,9.18,121,1.5,2.2
TAG,13/09/2017,8.26,29.5,85,57,17.74,5.3,125,58.2,0.67,3.37,5.89,11.9,1200,0.009,7.97,105,2,28
TAG,12/10/2017,8.2,29.7,83,63,18.38,4.4,125,60.1,0.65,3.44,6.23,6.8,300,0.009,8.04,106,2.5,1.9
TAG,15/11/2017,7.45,28.8,79,54,16.56,5.2,120,55.4,0.71,3.41,6.06,8.7,2500,0.017,6.91,90,2.7,15
TAG,13/12/2017,7.22,27.8,88,54,14.25,4.9,125,48.6,0.74,3.16,7.29,12.9,3900,0.03,6.16,78,3,1.2
DHC,12/01/2017,7.54,28.3,90,54,8.75,4.9,109,37.4,0.83,3.77,6.05,4.3,11000,0.029,6.4,84,3.2,0.9
DHC,09/02/2017,7.54,28.6,77,89,8.12,5.1,126,35.2,0.9,3.64,6.77,4.2,290,0.009,6.83,89,2.5,1.2
DHC,09/03/2017,7.3,28.6,93,55,7.8,5.9,128,41.4,0.81,5.31,7.94,6.5,3700,0.009,6.43,83,2.5,21
DHC,12/04/2017,7.21,29.2,94,55,14.64,6.2,126,64.4,0.45,4.33,8.7,5.4,5200,0.035,6.37,83,1,5.7
DHC,,,,,,,,,,,,,,,,,,,
DHC,,,,,,,,,,,,,,,,,,,
DHC,11/07/2017,7.81,27,83,55,14.59,5.2,108,50.2,0.68,3.34,7.52,17.4,1400,0.012,7.97,100,0.8,4.5
DHC,09/08/2017,8.48,29.7,79,50,16.45,7,124,55.3,0.63,3.46,6.85,9.2,1600,0.014,8.46,111,0.8,2.6
DHC,13/09/2017,8.27,29.1,91,57,17.68,4.7,122,58.8,0.59,3.55,5.86,9.1,530,0.013,8.38,109,2,2.2
DHC,12/10/2017,8.02,29.5,88,59,17.43,4.6,125,58,0.86,3.53,6.48,8.5,700,0.009,8.02,106,1.5,2.4
DHC,15/11/2017,8.04,28.3,83,63,15,5.1,119,51.9,0.72,3.49,6.36,15.5,1900,0.019,7.93,102,1.5,3.6
DHC,13/12/2017,7.82,27.9,83,54,14.73,4.8,125,49.8,0.64,3.15,7.18,16,5200,0.041,8.14,104,1.5,2.6
TAG,11/01/2018,7.56,27.7,77,53,16.04,5,125,55.3,0.41,3.71,6.15,6.3,13000,0.011,7.56,96,3,0.8
TAG,15/02/2018,7.7,28.5,87,53,15.54,6,127,54.9,0.65,3.91,7.14,8.7,16000,0.02,8.4,108,1.8,0.9
TAG,14/03/2018,6.9,28.7,95,56,18.46,5.2,120,68.4,0.8,5.42,6.59,9.2,6500,0.009,6.98,90,2,1.2
TAG,11/04/2018,7.8,29.4,95,56,17.05,5.4,126,59.2,1.65,4.03,6.76,8.4,1200,0.015,9.1,120,18,1.5
TAG,16/05/2018,8.33,29.3,95,59,10.29,6,130,40.7,1.22,3.63,6.79,9.4,1900,0.018,9.18,120,2,1.4
TAG,13/06/2018,8.41,29.7,84,54,13.56,6.8,14,47.8,,3.38,,17.3,11000,0.045,9.26,122,1.5,2.1
TAG,11/07/2018,7.79,28.7,97,50,10.17,6,121,40.5,1.3,3.66,6.65,18.9,1200,0.02,9.26,121,1,2.5
TAG,08/08/2018,8.2,30.1,86,53,10.12,6.2,126,40.5,1.34,3.7,6.46,12.2,340,0.028,10.02,133,1.5,1.9
TAG,25/09/2018,7.61,29.1,79,50,9.59,5.2,126,42.5,1.05,4.5,6.17,15.5,6500,0.031,7.07,10,2,1.7
TAG,10/10/2018,7.88,30.4,84,50,10.79,5.1,125,42.4,1.36,3.75,6.2,11.1,880,0.013,8.6,117,1.8,1.5
TAG,14/11/2018,7.7,29.3,88,47,10.28,5.4,123,39.5,1.36,3.37,5.95,11.8,4100,0.183,7.87,103,2,1.5
TAG,12/12/2018,7.4,26.4,95,47,11.31,4.2,110,45.3,1.47,4.14,6.21,10,7300,0.014,7.56,99,2.5,1.2
DHC,11/01/2018,7.53,28.2,83,53,15.62,5.1,126,54.6,0.34,3.79,6.04,5.8,1000,0.015,7.49,96,2.5,1.3
DHC,15/02/2018,7.22,27.9,87,50,14.51,5.3,124,52,0.62,3.83,7.8,5.3,7300,0.018,7.34,94,2.5,0.9
DHC,14/03/2018,7.39,28.7,85,53,16.93,5.5,120,56.6,0.7,3.48,6.96,4.2,6900,0.012,7.1,92,2,1.6
DHC,11/04/2018,7.01,29.2,103,51,14.02,6.4,124,53.8,1.14,4.56,7.74,5.5,3400,0.018,6.39,83,1.4,3.3
DHC,16/05/2018,7.22,29.1,94,56,0.01,6.4,126,14.9,1.41,3.6,6.85,8.6,1800,0.017,6.84,90,2,2.3
DHC,13/06/2018,8.33,29.3,79,48,11.29,6.3,124,42.6,,3.49,,175,9800,0.031,9.92,130,1.2,4.2
DHC,11/07/2018,8.18,29.1,92,46,9.04,5.8,115,38.2,1.37,3.78,6.65,11.5,340,0.016,8.47,112,1.2,2
DHC,08/08/2018,7.23,27.6,82,50,9.01,5.9,113,38.7,1.19,3.94,6.57,10.6,2500,0.036,8.39,107,2,3.5
DHC,25/09/2018,7.64,28.8,83,50,10.51,5,125,42.3,1.5,3.89,6.17,15,910,0.033,7.94,103,2,2.3
DHC,10/10/2018,7.55,30.4,85,53,11.1,4.8,127,43,1.44,3.7,6.37,9.9,200,0.022,7.98,106,2,1.5
