ID_estacion,Fecha,pH,Temp,TDS,Alc_total,Ca,Cl,Cond,Dureza,K,Mg,Na,CHL_A,C_totales,NNO3,OD,ODPCT,Transp,Turb
DCH,2020-02-04,7.63,28.4,92.0,58.0,10.76,6.2,131.0,43.7,0.63,4.1,7.65,5.6,3100.0,0.035,5.39,75.0,2.5,1.1
DCH,2020-03-10,7.42,28.3,94.0,52.0,9.16,7.0,137.0,38.6,0.68,3.81,6.67,6.5,1800.0,0.189,5.76,74.0,2.5,1.5
DCH,2020-04-21,7.43,30.5,94.0,59.0,15.55,15.4,138.0,56.8,0.47,4.38,6.83,9.2,2800.0,0.026,6.45,66.0,1.0,2.3
DCH,2020-05-19,7.31,26.5,74.0,32.0,3.25,6.6,102.0,25.2,0.4,4.14,6.39,1.4,42000.0,0.253,6.66,84.0,0.2,29.5
DCH,2020-06-16,7.68,25.3,103.0,69.0,12.08,5.8,109.0,46.4,0.56,3.95,6.14,15.1,4100.0,0.024,7.27,89.0,1.0,2.5
DCH,2020-07-21,8.2,28.9,86.0,48.0,20.64,5.3,129.0,65.2,0.62,3.33,6.45,11.9,1900.0,0.037,8.2,108.0,1.0,44.0
DCH,2020-08-18,8.17,29.1,44.0,48.0,9.29,4.5,124.0,38.1,0.57,3.63,5.29,14.8,11000.0,0.027,7.78,103.0,1.0,5.0
DCH,2020-09-22,8.0,29.6,46.0,49.0,9.59,4.2,124.0,38.0,0.53,3.43,6.34,11.2,3000.0,0.021,8.06,96.0,1.5,4.5
DCH,2020-10-21,8.22,28.8,98.0,49.0,9.37,5.3,122.0,39.0,0.61,3.8,6.98,11.1,2400.0,0.02,7.98,105.0,1.5,4.7
DCH,2020-11-18,7.72,27.5,78.0,49.0,10.32,6.3,128.0,42.3,0.6,4.03,6.38,12.1,3900.0,0.042,5.99,90.0,1.5,2.3
DCH,2020-12-01,8.09,28.2,68.0,52.0,9.91,3.1,124.0,40.2,0.46,3.77,6.14,12.7,14000.0,0.037,8.03,105.0,2.0,1.5
TAG,2021-01-26,8.04,28.6,102.0,52.0,9.97,6.4,137.0,43.7,0.84,4.57,13.27,9.7,2200.0,0.028,7.34,96.0,2.1,0.9
TAG,2021-02-23,7.24,29.2,106.0,51.0,9.1,5.2,130.0,37.7,0.76,3.64,6.94,10.3,1400.0,0.038,8.75,115.0,2.5,1.1
TAG,2021-03-16,8.2,29.1,100.0,52.0,9.71,4.6,133.0,38.9,0.8,3.58,5.76,8.5,9200.0,0.09,7.87,104.0,1.3,1.0
TAG,2021-04-20,7.9,29.9,78.0,52.0,10.4,7.5,135.0,41.3,0.86,3.73,6.99,10.1,1500.0,0.079,7.83,105.0,2.2,1.4
TAG,2021-05-18,8.34,30.0,96.0,54.0,9.97,7.1,135.0,40.7,0.46,3.85,6.9,9.7,2200.0,0.083,8.3,111.0,2.0,1.0
TAG,2021-06-15,8.52,29.7,102.0,47.0,9.75,6.9,125.0,40.7,0.65,3.99,6.34,11.3,280.0,0.034,8.09,108.0,2.0,1.4
TAG,2021-07-20,8.58,30.0,94.0,48.0,9.77,6.5,125.0,40.2,0.32,3.85,6.35,8.5,260.0,0.047,8.67,116.0,,1.0
TAG,2021-08-17,8.67,28.5,74.0,49.0,9.16,6.0,121.0,36.9,0.38,3.41,6.01,10.0,780.0,0.046,8.94,116.0,1.5,1.3
TAG,2021-09-14,8.37,29.6,78.0,48.0,7.38,5.7,117.0,33.0,0.44,3.55,5.58,13.9,1100.0,0.084,8.62,115.0,2.5,1.5
TAG,2021-10-19,8.24,29.4,81.0,49.0,7.02,5.4,112.0,30.7,0.59,3.2,5.65,12.1,3900.0,0.027,7.43,99.0,1.5,1.4
TAG,2021-11-17,8.61,29.4,89.0,50.0,7.51,5.2,122.0,31.3,0.66,3.05,5.11,12.3,52000.0,0.026,7.66,100.0,2.0,1.5
TAG,2021-12-06,8.41,28.4,81.0,49.0,10.1,5.0,125.0,40.2,0.72,3.67,5.52,11.4,20000.0,0.045,7.06,91.0,2.0,1.4
DCH,2021-01-26,7.68,28.2,138.0,51.0,8.76,6.0,136.0,37.9,0.45,3.89,5.15,12.7,8200.0,0.031,6.75,88.0,2.5,0.9
DCH,2021-02-23,7.32,28.8,90.0,51.0,9.7,5.6,129.0,39.6,0.68,3.75,6.49,6.6,9800.0,0.059,7.23,95.0,2.0,1.4
DCH,2021-03-16,7.47,28.7,124.0,49.0,8.89,4.7,129.0,38.2,0.62,3.89,6.26,9.3,3700.0,0.104,6.82,89.0,2.0,1.7
DCH,2021-04-20,7.69,29.6,86.0,50.0,9.93,6.2,132.0,39.2,0.58,3.52,7.04,8.8,2000.0,0.071,7.66,102.0,1.5,2.4
DCH,2021-05-18,7.07,29.0,100.0,43.0,6.76,8.2,114.0,31.9,0.3,3.66,7.08,2.1,3100.0,0.08,6.98,92.0,1.5,2.3
DCH,2021-06-15,7.27,25.4,86.0,31.0,4.9,5.8,91.0,28.2,0.55,3.89,5.72,0.5,20000.0,0.113,6.93,86.0,0.9,17.6
DCH,2021-07-20,7.44,28.2,70.0,40.0,6.6,6.6,110.0,30.0,0.24,3.29,6.63,1.4,11000.0,0.057,6.83,89.0,,2.3
DCH,2021-08-17,8.29,28.5,102.0,47.0,8.68,6.1,115.0,35.7,0.41,3.41,6.0,10.2,560.0,0.037,8.14,106.0,1.2,3.3
DCH,2021-09-14,8.25,29.8,62.0,49.0,7.13,5.7,117.0,31.4,0.51,3.31,5.85,8.2,200.0,0.061,7.9,104.0,2.0,2.2
DCH,2021-10-19,8.48,29.6,86.0,50.0,7.0,5.3,115.0,31.8,0.66,3.47,5.67,10.9,3400.0,0.026,8.11,108.0,2.5,1.3
DCH,2021-11-17,8.32,29.4,94.0,62.0,7.72,5.2,126.0,33.0,0.72,3.33,5.45,11.4,13000.0,0.026,6.83,90.0,2.0,1.7
